Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E1,21/08/12,Blackpool,Leeds,2,1,H,0,1,A,20,5,8,3,6,14,5,4,0,2,0,0,2.1,3.4,3.4,2.1,3.4,3.2,2.1,3.4,3.2,2.1,3.3,3.1,2.1,3.3,3.5,2.14,3.55,3.62,2.1,3.4,3.4,2.2,3.4,3,2.15,3.5,3.6,2,3.4,3.4,37,2.38,2.11,3.54,3.34,3.75,3.34,31,1.81,1.73,2.18,2.07,18,-0.25,1.88,1.84,2.08,2.03
E1,21/08/12,Bolton,Derby,2,0,H,0,0,D,16,7,10,4,13,15,6,5,3,1,0,0,1.73,3.6,4.75,1.65,3.7,5,1.65,3.7,5,1.7,3.5,4.4,1.73,3.5,5,1.68,3.88,5.6,1.73,3.5,5,1.73,3.5,5,1.7,3.8,5.5,1.73,3.5,4.5,37,1.73,1.7,3.89,3.56,5.6,4.96,31,1.94,1.84,2.04,1.95,17,-0.75,1.93,1.9,2.01,1.97
E1,21/08/12,Brighton,Cardiff,0,0,D,0,0,D,16,10,9,6,5,10,14,4,0,1,0,0,2.5,3.25,2.8,2.55,3.1,2.75,2.55,3.1,2.75,2.3,3.2,2.8,2.5,3.3,2.8,2.64,3.29,2.92,2.7,3.1,2.7,2.5,3.2,2.8,2.62,3.25,2.9,2.38,3.25,2.8,37,2.7,2.51,3.35,3.21,2.92,2.76,25,2.34,2.15,1.7,1.66,20,0,1.91,1.85,2.06,1.99
E1,21/08/12,Bristol City,Crystal Palace,4,1,H,2,0,H,13,7,6,4,12,12,7,2,2,2,0,0,2.3,3.25,3.1,2.35,3.1,3,2.35,3.1,3,2.3,3.2,2.8,2.3,3.3,3.1,2.34,3.38,3.3,2.4,3.1,3.1,2.4,3.2,3,2.38,3.3,3.25,2.25,3.25,3,37,2.4,2.29,3.37,3.23,3.34,3.07,31,2.25,2.13,1.76,1.7,18,0,1.67,1.62,2.38,2.29
E1,21/08/12,Charlton,Leicester,2,1,H,2,0,H,9,15,7,6,6,11,6,4,0,1,0,0,2.8,3.25,2.5,3.1,3.3,2.35,3.1,3.3,2.35,2.7,3.2,2.4,2.88,3.3,2.4,3.05,3.39,2.47,3.1,3.1,2.4,2.8,3.25,2.5,3.1,3.3,2.45,2.75,3.25,2.4,37,3.1,2.82,3.4,3.24,2.57,2.45,31,1.95,1.87,2,1.91,19,0,2.08,2.03,1.86,1.81
E1,21/08/12,Huddersfield,Nott'm Forest,1,1,D,0,0,D,12,11,1,6,10,13,4,7,1,3,0,0,2.6,3.25,2.7,2.7,3.25,2.7,2.7,3.25,2.7,2.55,3.1,2.55,2.5,3.3,2.75,2.79,3.31,2.74,2.7,3.1,2.7,2.6,3.25,2.75,2.8,3.3,2.75,2.4,3.3,2.7,37,2.7,2.56,3.4,3.2,2.86,2.72,31,2.25,2.1,1.81,1.72,20,0,1.89,1.85,2.06,1.99
E1,21/08/12,Middlesbrough,Burnley,3,2,H,1,1,D,10,12,6,6,4,9,4,5,1,1,0,0,2.05,3.3,3.6,2,3.2,3.75,2,3.2,3.75,2,3.3,3.3,2.05,3.3,3.6,2.08,3.37,4.01,2.1,3.2,3.6,2.1,3.25,3.5,2.1,3.3,4,2.1,3.25,3.3,37,2.15,2.05,3.4,3.27,4.01,3.56,31,2.24,2.1,1.79,1.71,16,-0.5,2.08,2.03,1.89,1.85
E1,21/08/12,Peterboro,Millwall,1,2,A,1,1,D,9,18,4,10,8,11,1,8,1,2,0,0,2.63,3.25,2.63,2.55,3.4,2.55,2.55,3.4,2.55,2.5,3.2,2.6,2.5,3.3,2.75,2.69,3.51,2.72,2.7,3.1,2.7,2.63,3.25,2.63,2.62,3.4,2.8,2.4,3.25,2.75,37,2.7,2.55,3.51,3.27,2.88,2.68,31,1.85,1.77,2.12,2.03,20,0,1.92,1.87,2.02,1.97
E1,21/08/12,Sheffield Weds,Birmingham,3,2,H,2,0,H,13,11,5,5,9,8,5,6,1,1,0,0,2.6,3.2,2.7,2.65,3.3,2.7,2.65,3.3,2.7,2.45,3.2,2.65,2.5,3.3,2.75,2.71,3.41,2.77,2.7,3.1,2.7,2.6,3.2,2.75,2.7,3.4,2.75,2.4,3.25,2.75,37,2.72,2.56,3.41,3.24,2.77,2.69,31,2.02,1.95,1.92,1.84,20,0,1.93,1.86,2.03,1.98
E1,21/08/12,Watford,Ipswich,0,1,A,0,0,D,7,14,5,4,12,7,4,5,1,0,0,0,2.2,3.3,3.25,2.15,3.4,3.4,2.15,3.4,3.4,2.2,3.2,3,2.2,3.25,3.25,2.24,3.51,3.4,2.25,3.2,3.3,2.2,3.3,3.2,2.25,3.5,3.4,2.25,3.25,3,37,2.32,2.21,3.51,3.29,3.4,3.18,31,1.88,1.8,2.1,1.99,18,-0.25,1.99,1.91,2,1.96
E1,21/08/12,Wolves,Barnsley,3,1,H,1,0,H,14,13,9,4,11,13,6,3,0,1,0,0,1.67,3.75,5,1.62,3.7,5.25,1.62,3.7,5.25,1.65,3.5,4.6,1.62,3.75,5.5,1.65,4.05,5.72,1.73,3.5,5,1.67,3.75,5,1.65,4,5.75,1.62,3.6,5.5,37,1.75,1.64,4.05,3.7,5.8,5.19,31,1.91,1.8,2.08,1.99,18,-0.75,1.91,1.84,2.1,2.03
E1,22/08/12,Blackburn,Hull,1,0,H,0,0,D,10,12,5,5,11,4,8,5,1,0,0,0,1.91,3.3,4.2,1.85,3.3,4.25,1.85,3.3,4.25,1.9,3.3,3.7,1.91,3.4,4,1.91,3.53,4.58,1.91,3.4,4,1.83,3.4,4.33,1.91,3.5,4.5,1.91,3.4,3.75,34,2.01,1.93,3.52,3.34,4.6,3.98,30,2.18,2.07,1.82,1.73,16,-0.5,2.02,1.97,1.98,1.89
E1,24/08/12,Bolton,Nott'm Forest,2,2,D,1,1,D,13,11,5,4,16,14,8,6,3,3,0,0,1.95,3.6,3.6,2.1,3.4,3.6,2.1,3.4,3.6,2,3.3,3.3,2,3.3,3.75,2,3.48,4.2,1.95,3.1,3.5,2,3.3,3.6,2,3.5,4.1,1.95,3.4,3.75,37,2.08,2.01,3.51,3.39,4.05,3.7,34,2.12,2.03,1.83,1.76,18,-0.25,1.78,1.74,2.19,2.15
E1,25/08/12,Blackburn,Leicester,2,1,H,1,0,H,8,12,4,7,6,15,3,12,1,1,0,0,2.25,3.4,3.1,2.2,3.2,3.2,2.2,3.2,3.2,2.3,3.2,2.8,2.3,3.3,3.1,2.39,3.4,3.24,2.2,3.1,2.9,2.25,3.3,3,2.38,3.4,3.2,2.3,3.3,2.88,34,2.43,2.33,3.41,3.29,3.25,2.97,30,2.1,1.98,1.94,1.81,17,0,1.72,1.68,2.28,2.19
E1,25/08/12,Blackpool,Ipswich,6,0,H,2,0,H,11,5,7,3,7,7,5,5,1,1,0,0,1.95,3.5,3.75,1.95,3.5,3.6,1.95,3.5,3.6,2,3.3,3.3,1.91,3.5,3.8,2.06,3.62,3.84,1.91,3.4,3.3,2.05,3.4,3.6,2,3.6,3.9,1.95,3.4,3.6,34,2.06,1.98,3.7,3.42,4,3.66,30,1.78,1.67,2.25,2.15,16,-0.25,1.78,1.75,2.16,2.13
E1,25/08/12,Brighton,Barnsley,5,1,H,3,1,H,11,6,6,3,4,6,4,4,1,3,0,0,1.7,3.75,4.75,1.7,3.5,4.75,1.7,3.5,4.75,1.7,3.5,4.4,1.8,3.5,4.5,1.72,3.68,5.74,1.67,3.4,4.4,1.73,3.5,4.8,1.75,3.6,5.5,1.73,3.6,4.5,34,1.8,1.72,3.75,3.54,5.72,4.84,30,2.25,2.07,1.8,1.74,15,-0.75,2,1.92,1.98,1.94
E1,25/08/12,Bristol City,Cardiff,4,2,H,2,0,H,13,14,6,8,10,7,5,6,0,1,0,0,2.8,3.5,2.38,3.2,3.3,2.3,3.2,3.3,2.3,2.8,3.2,2.3,3,3.4,2.3,3.06,3.37,2.49,3,3,2.2,3,3.25,2.3,3,3.4,2.45,2.8,3.25,2.38,34,3.25,2.95,3.5,3.28,2.5,2.35,30,2.18,2.03,1.85,1.76,17,0,2.22,2.13,1.78,1.74
E1,25/08/12,Charlton,Hull,0,0,D,0,0,D,9,13,6,8,10,9,8,6,0,0,0,0,2.25,3.4,3.1,2.25,3.1,3.2,2.25,3.1,3.2,2.3,3.2,2.8,2.3,3.3,3,2.29,3.42,3.39,2.15,3.1,3,2.38,3.3,3,2.38,3.3,3.3,2.2,3.25,3.1,34,2.4,2.27,3.4,3.29,3.32,3.08,30,2.21,2.1,1.78,1.71,17,0,1.67,1.64,2.36,2.27
E1,25/08/12,Huddersfield,Burnley,2,0,H,1,0,H,10,6,7,3,11,6,6,9,1,0,0,0,2.4,3.5,2.75,2.3,3.2,3,2.3,3.2,3,2.4,3.2,2.7,2.4,3.3,2.88,2.51,3.42,2.99,2.3,3.1,2.75,2.4,3.25,2.88,2.5,3.5,2.9,2.4,3.25,2.8,34,2.56,2.42,3.5,3.29,2.99,2.83,30,2.15,2.01,1.88,1.78,17,0,1.8,1.77,2.14,2.08
E1,25/08/12,Middlesbrough,Crystal Palace,2,1,H,1,0,H,19,9,10,7,9,15,9,3,1,2,0,0,1.8,3.5,4.5,1.78,3.2,4.75,1.78,3.2,4.75,1.8,3.4,4,1.8,3.5,4.5,1.74,3.67,5.62,1.75,3.2,4.2,1.8,3.4,4.5,1.78,3.6,5.5,1.75,3.5,4.5,34,1.84,1.79,3.64,3.44,5.2,4.53,26,2.25,2.12,1.75,1.68,15,-0.75,2.09,2.03,1.88,1.83
