Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E2,18/08/12,Bury,Brentford,0,0,D,0,0,D,5,10,3,1,6,4,7,5,1,0,0,0,3,3.4,2.3,2.75,3.1,2.4,2.75,3.1,2.4,2.5,3.1,2.4,2.8,3.4,2.4,3.28,3.44,2.31,3,3.25,2.38,3,3.25,2.38,3.2,3.4,2.38,2.8,3.3,2.38,35,3.16,2.9,3.41,3.24,2.5,2.35,32,2.04,1.96,1.91,1.82,18,0,2.26,2.18,1.75,1.7
E2,18/08/12,Crawley Town,Scunthorpe,3,0,H,1,0,H,19,11,10,6,10,15,8,6,1,2,0,1,2,3.5,3.6,2,3.25,3.4,2,3.25,3.4,2,3.1,3.2,2.1,3.4,3.4,2.03,3.59,3.93,2.05,3.3,3.6,2.05,3.4,3.5,2.05,3.5,3.9,2.1,3.3,3.2,36,2.1,2.03,3.59,3.32,3.93,3.49,32,1.91,1.85,2.05,1.92,17,-0.25,1.82,1.74,2.22,2.14
E2,18/08/12,Crewe,Notts County,1,2,A,0,1,A,9,10,4,3,13,15,8,4,1,3,0,1,2.5,3.4,2.7,2.6,3.2,2.5,2.6,3.2,2.5,2.5,3.1,2.4,2.62,3.3,2.6,2.77,3.5,2.64,2.75,3.25,2.5,2.63,3.25,2.6,2.75,3.5,2.62,2.6,3.3,2.5,35,2.77,2.63,3.5,3.25,2.7,2.56,32,1.92,1.83,2.02,1.95,18,0,2.02,1.96,1.91,1.87
E2,18/08/12,Hartlepool,Swindon,0,0,D,0,0,D,9,7,2,5,11,14,3,6,0,1,0,0,3.2,3.2,2.3,2.9,3,2.35,2.9,3,2.35,2.5,3.1,2.4,3,3.25,2.38,3.32,3.32,2.36,3,3.25,2.4,3,3.2,2.38,3.25,3.3,2.38,2.7,3.3,2.4,35,3.32,2.96,3.4,3.21,2.5,2.34,24,2.26,2.18,1.72,1.64,18,0,2.31,2.21,1.75,1.68
E2,18/08/12,Milton Keynes Dons,Oldham,2,0,H,1,0,H,8,6,6,2,12,13,4,4,3,2,1,0,1.62,3.75,5.5,1.6,3.5,5.25,1.6,3.5,5.25,1.65,3.4,4.2,1.62,3.75,5.5,1.63,3.98,6.13,1.67,3.75,5,1.62,3.6,5.75,1.67,3.9,6,1.62,3.75,5,35,1.7,1.62,3.98,3.63,6.13,5.36,32,2,1.92,1.96,1.86,17,-0.75,1.88,1.77,2.16,2.09
E2,18/08/12,Portsmouth,Bournemouth,1,1,D,1,0,H,14,12,5,4,12,9,5,6,1,1,0,0,3.5,3.5,1.91,3.7,3.3,1.9,3.7,3.3,1.9,,,,3.25,3.4,1.83,3.82,3.72,2.02,3.75,3.25,1.8,,,,3.75,3.6,1.98,3.75,3.4,1.8,18,4,3.66,3.6,3.46,2.08,1.91,11,2.1,1.95,1.9,1.84,15,0.25,2.2,2.11,1.81,1.77
E2,18/08/12,Preston,Colchester,0,0,D,0,0,D,12,6,7,2,10,10,8,3,2,1,0,0,2,3.4,3.75,1.91,3.25,3.7,1.91,3.25,3.7,2,3.2,3.1,2,3.4,3.75,1.99,3.59,4.12,2,3.4,3.75,1.95,3.4,3.8,1.98,3.6,4.1,2,3.4,3.5,35,2.05,1.96,3.59,3.35,4.12,3.68,32,2.04,1.96,1.88,1.82,16,-0.5,2.01,1.96,1.95,1.9
E2,18/08/12,Sheffield United,Shrewsbury,1,0,H,1,0,H,8,19,1,0,8,11,2,4,0,2,0,0,1.62,3.75,5.5,1.53,3.75,5.5,1.53,3.75,5.5,1.55,3.5,4.8,1.57,3.75,6,1.67,4.08,5.48,1.67,3.8,5,1.62,3.75,5.5,1.65,4,5.75,1.53,4,5.75,35,1.67,1.59,4.08,3.72,6,5.54,32,1.87,1.79,2.06,1.99,18,-1,2.2,2.11,1.81,1.76
E2,18/08/12,Stevenage,Carlisle,1,1,D,0,0,D,12,6,9,2,7,4,10,3,1,0,0,0,2.1,3.4,3.4,2,3.2,3.5,2,3.2,3.5,2.1,3.1,3,2.1,3.4,3.4,2.2,3.5,3.5,2.05,3.3,3.6,2.1,3.3,3.4,2.15,3.4,3.6,2.05,3.4,3.4,35,2.25,2.12,3.5,3.29,3.5,3.29,32,2.06,1.95,1.92,1.82,15,-0.5,2.22,2.16,1.76,1.73
E2,18/08/12,Tranmere,Leyton Orient,3,1,H,1,0,H,6,4,4,2,12,11,7,3,2,3,0,0,1.95,3.3,4,1.85,3.25,4,1.85,3.25,4,1.85,3.1,3.6,1.91,3.3,4.2,1.99,3.55,4.15,1.95,3.3,4,1.95,3.3,3.8,1.98,3.5,4.1,1.83,3.4,4,35,2,1.93,3.55,3.34,4.2,3.82,24,2.17,2.08,1.75,1.7,16,-0.5,2.01,1.96,1.94,1.89
