Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E3,21/08/12,Accrington,Port Vale,2,0,H,1,0,H,4,13,3,6,4,11,8,10,2,3,0,0,2.25,3.6,2.9,2.5,3.25,2.55,2.5,3.25,2.55,2.3,3.1,2.6,2.5,3.4,2.7,2.375,3.25,2.6,2.5,3.2,2.8,2.4,3.4,2.8,2.5,3.5,2.88,2.4,3.3,2.75,35,2.55,2.43,3.6,3.29,2.91,2.76,22,1.94,1.81,2.03,1.95,17,0,1.84,1.79,2.15,2.06
E3,21/08/12,Aldershot,Exeter,1,2,A,1,1,D,10,7,3,4,9,13,2,7,1,1,0,0,1.91,3.75,3.6,1.95,3.1,3.75,1.95,3.1,3.75,2.1,3.1,3,2,3.5,3.6,2,3.25,3.4,1.91,3.5,4,2,3.5,3.6,2.05,3.7,3.7,1.95,3.4,3.6,34,2.1,1.99,3.6,3.37,3.98,3.62,21,2.2,2.06,1.8,1.72,12,-0.25,1.79,1.73,2.22,2.15
E3,21/08/12,Barnet,Bristol Rvs,1,1,D,1,0,H,7,15,3,10,18,18,6,8,1,3,0,0,2.75,3.6,2.38,2.6,3.25,2.45,2.6,3.25,2.45,2.6,3.1,2.3,2.88,3.4,2.38,2.65,3.3,2.375,2.8,3.2,2.5,2.75,3.3,2.5,2.88,3.6,2.5,2.6,3.25,2.5,35,3,2.8,3.6,3.29,2.5,2.39,24,1.87,1.78,2.06,2,17,0,2.17,2.11,1.8,1.75
E3,21/08/12,Bradford,Fleetwood Town,1,0,H,0,0,D,11,11,5,5,15,11,5,3,0,3,0,0,2.6,3.6,2.5,2.55,3.25,2.5,2.55,3.25,2.5,2.5,3.1,2.4,2.7,3.4,2.5,2.5,3.3,2.5,2.75,3.3,2.5,2.63,3.3,2.6,2.75,3.5,2.6,2.6,3.4,2.5,34,2.78,2.63,3.6,3.32,2.7,2.54,21,1.91,1.82,2.06,1.94,17,0,2.02,1.95,1.95,1.88
E3,21/08/12,Burton,AFC Wimbledon,6,2,H,4,0,H,20,16,12,8,11,14,8,13,0,2,0,0,2.5,3.3,2.75,2.3,3.25,2.8,2.3,3.25,2.8,2.2,3.1,2.8,2.4,3.4,2.8,2.25,3.3,2.8,2.5,3.2,2.8,2.5,3.3,2.75,2.6,3.4,2.88,2.3,3.3,2.88,35,2.6,2.45,3.58,3.27,2.88,2.75,22,1.85,1.78,2.07,1.99,17,0,1.9,1.83,2.06,2.01
E3,21/08/12,Chesterfield,Rochdale,1,1,D,0,0,D,13,11,11,4,9,18,5,5,2,2,0,0,1.91,3.6,3.75,1.9,3.3,3.7,1.9,3.3,3.7,1.8,3.3,3.6,1.91,3.5,4,1.909,3.4,3.5,1.91,3.5,4,1.95,3.4,3.75,2.05,3.5,3.9,1.91,3.5,3.75,35,2.15,1.98,3.61,3.39,4,3.63,30,1.95,1.87,2,1.91,14,-0.5,2.12,2.07,1.83,1.79
E3,21/08/12,Dag and Red,Plymouth,0,0,D,0,0,D,12,10,6,6,7,12,9,1,2,2,0,0,2.25,3.5,3,2.3,3.1,2.9,2.3,3.1,2.9,2.3,3.1,2.6,2.38,3.4,2.88,2.3,3.3,2.75,2.3,3.2,3.2,2.3,3.3,3,2.38,3.4,3.12,2.25,3.4,2.88,34,2.4,2.3,3.5,3.28,3.27,2.96,21,2.18,2.02,1.8,1.75,16,-0.25,2.02,1.94,1.96,1.91
E3,21/08/12,Morecambe,York,2,2,D,0,0,D,11,9,5,7,14,6,9,3,0,1,0,0,2.1,3.5,3.25,2,3.25,3.4,2,3.25,3.4,2.1,3.1,3,2.2,3.4,3.2,2.1,3.25,3.2,2.25,3.2,3.3,2.2,3.3,3.2,2.3,3.4,3.3,2.1,3.4,3.2,34,2.44,2.24,3.54,3.27,3.4,3.09,29,1.95,1.88,1.98,1.91,12,-0.25,2.1,2.03,1.88,1.83
E3,21/08/12,Northampton,Rotherham,2,1,H,1,1,D,9,23,6,15,15,9,6,9,3,0,0,0,3,3.5,2.25,3,3.2,2.2,3,3.2,2.2,2.6,3.1,2.3,2.9,3.4,2.38,2.9,3.3,2.2,3.2,3.2,2.3,3.13,3.3,2.3,3.1,3.5,2.38,2.88,3.3,2.3,34,3.2,2.97,3.5,3.28,2.4,2.29,29,2,1.91,1.97,1.87,16,0.25,1.91,1.85,2.06,2.01
E3,21/08/12,Oxford,Southend,2,0,H,0,0,D,21,2,8,1,9,11,8,1,0,1,0,1,2,3.6,3.5,2.1,3.2,3.2,2.1,3.2,3.2,2,3.2,3.1,2.1,3.3,3.5,2.1,3.3,3.1,2.25,3.2,3.2,2.2,3.3,3.25,2.25,3.5,3.4,2,3.4,3.5,35,2.3,2.17,3.6,3.28,3.5,3.22,29,2.16,2.03,1.83,1.76,16,-0.25,2.01,1.94,1.96,1.91
