Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
EC,11/08/12,Wrexham,Woking,3,1,H,2,0,H,7,5,3,3,8,12,2,5,0,0,0,0,1.53,4,6,1.53,3.6,5.5,1.53,3.6,5.5,1.55,3.5,4.8,1.53,3.5,5.5,1.55,4.18,6.81,1.57,3.8,6,1.53,3.75,6.25,1.53,4.1,6.5,1.57,3.5,6.5,34,1.57,1.53,4.18,3.7,6.81,6.09,29,1.93,1.84,2.05,1.94,17,-1,1.99,1.95,1.94,1.9
EC,14/08/12,AFC Telford United,Forest Green,1,2,A,0,2,A,11,3,5,2,14,11,5,5,1,0,0,0,3.5,3.3,2.1,3.6,3.1,1.95,3.6,3.1,1.95,3.1,3,2.1,3.2,3.5,1.91,3.66,3.39,2.17,3.4,3.4,2.1,3.3,3.3,2.1,3.5,3.4,2.1,3.4,3.5,1.91,37,3.66,3.33,3.52,3.31,2.2,2.08,30,2.11,2.03,1.81,1.77,18,0.5,1.8,1.76,2.18,2.13
EC,14/08/12,Alfreton Town,Southport,3,3,D,1,1,D,10,9,4,9,10,9,6,6,3,2,0,0,2.1,3.4,3.4,2.2,3.4,2.75,2.2,3.4,2.75,2.3,3.1,2.6,2.25,3.3,2.62,2.18,3.58,3.43,2.3,3.5,2.9,2.2,3.4,3.13,2.2,3.4,3.3,2.2,3.4,2.88,37,2.3,2.19,3.66,3.36,3.4,3.04,21,1.72,1.65,2.25,2.18,19,-0.25,1.95,1.88,2.03,1.97
EC,14/08/12,Cambridge,Lincoln,2,1,H,1,1,D,10,7,5,5,8,9,4,7,0,1,0,0,1.85,3.5,4.2,1.75,3.3,4.25,1.75,3.3,4.25,1.8,3.2,3.7,1.8,3.25,3.75,1.89,3.54,4.57,1.83,3.4,4.5,1.9,3.4,4,1.85,3.5,4.5,1.8,3.6,3.75,37,1.91,1.83,3.6,3.41,4.57,4.08,30,2.13,2.03,1.84,1.77,19,-0.75,2.22,2.15,1.78,1.73
EC,14/08/12,Ebbsfleet,Braintree Town,0,1,A,0,0,D,7,16,3,6,16,13,1,4,3,4,1,1,2.25,3.5,3,2.2,3.4,2.75,2.2,3.4,2.75,2.2,3.1,2.8,2.2,3.25,2.75,2.29,3.65,3.13,2.25,3.75,2.9,2.25,3.5,3,2.25,3.6,3.1,2.25,3.4,2.75,37,2.36,2.24,3.75,3.37,3.2,2.94,20,1.67,1.58,2.4,2.3,19,-0.25,2.06,2,1.91,1.85
EC,14/08/12,Gateshead,Mansfield,4,1,H,1,1,D,14,3,8,1,10,17,5,5,0,3,0,1,2.7,3.4,2.5,2.4,3.25,2.6,2.4,3.25,2.6,2.4,3.1,2.5,2.38,3.25,2.5,2.82,3.47,2.59,2.62,3.4,2.6,2.63,3.25,2.63,2.7,3.3,2.6,2.38,3.4,2.6,37,2.82,2.61,3.47,3.27,2.7,2.54,21,1.86,1.78,2.06,1.99,18,0,2.08,2.03,1.88,1.84
EC,14/08/12,Grimsby,Stockport,1,2,A,0,0,D,8,7,2,2,12,8,5,4,2,1,0,0,1.83,3.75,4,1.83,3.4,3.7,1.83,3.4,3.7,1.85,3.2,3.5,1.8,3.4,3.6,1.9,3.75,4.22,1.83,3.6,4.2,1.83,3.5,4,1.87,3.6,4.2,1.91,3.6,3.4,36,1.91,1.84,3.78,3.48,4.34,3.91,21,1.8,1.73,2.13,2.06,18,-0.5,1.89,1.85,2.05,2.01
EC,14/08/12,Hyde United,Barrow,0,0,D,0,0,D,13,6,3,2,11,7,5,1,1,3,0,0,2.2,3.4,3.2,2.1,3.3,3,2.1,3.3,3,2.1,3.1,3,2.2,3.25,2.75,2.15,3.57,3.5,2,3.25,3.2,2.1,3.3,3.3,2.15,3.5,3.4,2.2,3.4,2.88,37,2.2,2.13,3.57,3.31,3.5,3.17,21,1.84,1.74,2.1,2.04,19,-0.25,1.91,1.86,2.04,1.99
EC,14/08/12,Kidderminster,Luton,0,2,A,0,2,A,17,10,4,4,8,14,7,1,1,3,0,0,3,3.4,2.3,3,3.3,2.1,3,3.3,2.1,2.8,3.1,2.2,2.88,3.3,2.1,3.08,3.55,2.36,3.2,3.2,2.3,3,3.4,2.25,3.12,3.4,2.3,3.2,3.5,2,36,3.25,3,3.56,3.31,2.4,2.23,21,1.85,1.76,2.1,2.01,19,0.25,1.93,1.88,2.01,1.97
EC,14/08/12,Macclesfield,Wrexham,2,0,H,1,0,H,10,9,8,1,11,8,6,8,2,3,0,0,2.6,3.25,2.7,2.4,3,2.75,2.4,3,2.75,2.4,3.1,2.5,2.5,3.25,2.38,2.74,3.33,2.74,2.62,3.3,2.62,2.6,3.2,2.75,2.7,3.25,2.7,2.5,3.3,2.5,37,2.74,2.56,3.33,3.18,2.78,2.64,30,2.23,2.09,1.78,1.73,18,0,1.94,1.91,2.01,1.95
